listing_id,date,open,high,low,close,adj_close,volume,price_type,resolution,data_source,adr_epoch
XLRE,2015-12-16 00:00:00-05:00,30.860000610351562,31.1299991607666,30.860000610351562,31.1299991607666,22.0693359375,1600,RAW,1d,yfinance,COLAB
XLRE,2015-12-17 00:00:00-05:00,31.459999084472656,31.459999084472656,31.058000564575195,31.09000015258789,22.040977478027344,2400,RAW,1d,yfinance,COLAB
XLRE,2015-12-18 00:00:00-05:00,30.562999725341797,30.59000015258789,30.350000381469727,30.350000381469727,21.75426483154297,1400,RAW,1d,yfinance,COLAB
XLRE,2015-12-21 00:00:00-05:00,30.45599937438965,30.45599937438965,30.399999618530273,30.399999618530273,21.790102005004883,500,RAW,1d,yfinance,COLAB
XLRE,2015-12-22 00:00:00-05:00,30.68000030517578,30.68000030517578,30.68000030517578,30.68000030517578,21.990798950195312,200,RAW,1d,yfinance,COLAB
XLRE,2015-12-23 00:00:00-05:00,30.75,30.979999542236328,30.75,30.979999542236328,22.205833435058594,4500,RAW,1d,yfinance,COLAB
XLRE,2015-12-24 00:00:00-05:00,30.856000900268555,31.010000228881836,30.856000900268555,31.010000228881836,22.22733497619629,300,RAW,1d,yfinance,COLAB
XLRE,2015-12-28 00:00:00-05:00,31.030000686645508,31.030000686645508,30.920000076293945,30.927000045776367,22.167842864990234,2100,RAW,1d,yfinance,COLAB
XLRE,2015-12-29 00:00:00-05:00,31.25,31.489999771118164,31.25,31.440000534057617,22.53555679321289,3500,RAW,1d,yfinance,COLAB
XLRE,2015-12-30 00:00:00-05:00,31.56999969482422,31.59000015258789,31.440000534057617,31.440000534057617,22.53555679321289,2000,RAW,1d,yfinance,COLAB
XLRE,2015-12-31 00:00:00-05:00,31.31999969482422,31.389999389648438,31.18400001525879,31.18400001525879,22.352052688598633,36800,RAW,1d,yfinance,COLAB
XLRE,2016-01-04 00:00:00-05:00,30.979999542236328,30.979999542236328,30.361000061035156,30.459999084472656,21.833112716674805,1900,RAW,1d,yfinance,COLAB
XLRE,2016-01-05 00:00:00-05:00,30.93000030517578,31.382999420166016,30.93000030517578,31.382999420166016,22.494699478149414,1500,RAW,1d,yfinance,COLAB
XLRE,2016-01-06 00:00:00-05:00,30.81999969482422,31.184999465942383,30.81999969482422,31.079999923706055,22.277509689331055,3700,RAW,1d,yfinance,COLAB
XLRE,2016-01-07 00:00:00-05:00,30.72100067138672,30.75,30.506999969482422,30.510000228881836,21.86895179748535,1500,RAW,1d,yfinance,COLAB
XLRE,2016-01-08 00:00:00-05:00,30.510000228881836,30.518999099731445,30.079999923706055,30.110000610351562,21.582239151000977,4000,RAW,1d,yfinance,COLAB
XLRE,2016-01-11 00:00:00-05:00,30.290000915527344,30.290000915527344,30.290000915527344,30.290000915527344,21.71125602722168,500,RAW,1d,yfinance,COLAB
XLRE,2016-01-12 00:00:00-05:00,30.040000915527344,30.110000610351562,29.959999084472656,29.959999084472656,21.474721908569336,2300,RAW,1d,yfinance,COLAB
XLRE,2016-01-13 00:00:00-05:00,30.239999771118164,30.290000915527344,29.649999618530273,29.649999618530273,21.252513885498047,3300,RAW,1d,yfinance,COLAB
XLRE,2016-01-14 00:00:00-05:00,29.827999114990234,29.827999114990234,29.5,29.75,21.32419204711914,3700,RAW,1d,yfinance,COLAB
XLRE,2016-01-15 00:00:00-05:00,29.145999908447266,29.299999237060547,29.145999908447266,29.25,20.965808868408203,1400,RAW,1d,yfinance,COLAB
XLRE,2016-01-19 00:00:00-05:00,29.510000228881836,29.510000228881836,29.354999542236328,29.450000762939453,21.109161376953125,4700,RAW,1d,yfinance,COLAB
XLRE,2016-01-20 00:00:00-05:00,28.65999984741211,28.889999389648438,28.1200008392334,28.65999984741211,20.542909622192383,4600,RAW,1d,yfinance,COLAB
XLRE,2016-01-21 00:00:00-05:00,28.8799991607666,28.8799991607666,28.8799991607666,28.8799991607666,20.70059585571289,100,RAW,1d,yfinance,COLAB
XLRE,2016-01-22 00:00:00-05:00,29.46500015258789,29.479999542236328,29.457000732421875,29.479999542236328,21.13066864013672,300,RAW,1d,yfinance,COLAB
XLRE,2016-01-25 00:00:00-05:00,29.479999542236328,29.479999542236328,29.479999542236328,29.479999542236328,21.13066864013672,0,RAW,1d,yfinance,COLAB
XLRE,2016-01-26 00:00:00-05:00,29.59000015258789,29.856000900268555,29.59000015258789,29.742000579833984,21.318462371826172,500,RAW,1d,yfinance,COLAB
XLRE,2016-01-27 00:00:00-05:00,29.479999542236328,29.479999542236328,29.479999542236328,29.479999542236328,21.13066864013672,900,RAW,1d,yfinance,COLAB
XLRE,2016-01-28 00:00:00-05:00,29.479999542236328,29.489999771118164,29.15999984741211,29.15999984741211,20.901296615600586,1700,RAW,1d,yfinance,COLAB
XLRE,2016-01-29 00:00:00-05:00,29.010000228881836,29.200000762939453,29.010000228881836,29.190000534057617,20.922800064086914,600,RAW,1d,yfinance,COLAB
XLRE,2016-02-01 00:00:00-05:00,29.60700035095215,29.809999465942383,29.60700035095215,29.809999465942383,21.36720085144043,700,RAW,1d,yfinance,COLAB
XLRE,2016-02-02 00:00:00-05:00,29.68000030517578,29.68000030517578,29.43000030517578,29.43000030517578,21.094823837280273,1100,RAW,1d,yfinance,COLAB
XLRE,2016-02-03 00:00:00-05:00,29.68000030517578,29.68000030517578,29.047000885009766,29.459999084472656,21.116331100463867,3800,RAW,1d,yfinance,COLAB
XLRE,2016-02-04 00:00:00-05:00,29.444000244140625,29.645000457763672,29.444000244140625,29.636999130249023,21.243202209472656,1500,RAW,1d,yfinance,COLAB
XLRE,2016-02-05 00:00:00-05:00,29.209999084472656,29.209999084472656,29.097999572753906,29.097999572753906,20.856849670410156,200,RAW,1d,yfinance,COLAB
